source_id,angular_distance,number_of_neighbours,gaia_astrometric_params,table2_oid,ra,dec,ep,vmag,sptype,dist,pmra,pmde,simbadname,original_ext_source_id
1605198298364601088,0.0024039566386255323,1,5,988,218.37041666666667,52.90861111111111,2000,7.24,"K3V    ",13.4,-0.19,0.25,HIP71181,71181.0
1569335115284976000,0.002558101763740631,1,5,840,187.70874999999998,53.07638888888889,2000,6.2,"F9V    ",21.9,0.02,0.18,HIP61053,61053.0
1995681125599758592,0.0151790526532993,1,5,1598,349.1762499999999,53.21333333333334,2000,5.58,"F7V    ",20.2,0.11,-0.24,HIP114924,114924.0
2139664063038300288,0.03628897514119698,1,5,1330,289.27583333333337,53.36833333333333,2000,3.8,"K0III  ",37.7,0.06,0.12,HIP94779,94779.0
263916708025623680,0.0027447133938917146,1,5,406,85.33458333333333,53.48083333333334,2000,6.21,"K1V    ",12.2,0.0,-0.52,HIP26779,26779.0
263916742385357056,0.0037702906926391014,1,5,407,85.37791666666666,53.48972222222222,2000,9.78,"M1     ",12.4,0.0,-0.52,HIP26801,26801.0
792588939772065536,0.13512315746350834,1,5,809,178.45749999999995,53.69472222222222,2000,2.41,"A0V SB ",25.6,0.11,0.01,HIP58001,58001.0
1022858010710856576,0.006489730956373477,1,5,634,139.04708333333335,54.02166666666667,2000,4.8,"A5V    ",36.2,0.05,0.06,HIP45493,45493.0
984918228123275776,0.003953087102505388,1,5,546,117.77374999999998,54.12916666666667,2000,6.03,"F6V    ",30.0,-0.04,0.05,HIP38325,38325.0
1428427236986209024,0.005276911945951141,1,5,1125,246.3525,54.303888888888885,2000,10.1,"M2     ",6.58,0.43,-0.17,HIP80459,80459.0
2185710338703934976,0.013429708329045423,1,5,1377,301.25916666666666,54.43416666666666,2000,11.9,"M3     ",15.8,-1.17,-0.9,HIP98906,98906.0
1573086442800134272,0.0028494686259722493,1,5,826,183.0870833333333,54.48555555555556,2000,9.71,"M2     ",15.3,0.23,0.09,HIP59514,59514.0
1419999819661235840,0.015845213311311213,1,5,1175,257.5516666666666,54.49,2000,9.34,"K8     ",20.8,0.09,-0.11,HIP83996,83996.0
1420000579871414528,0.008055560543372023,1,5,1174,257.54375,54.494166666666665,2000,8.85,"K0     ",21.2,0.09,-0.1,HIP83988,83988.0
2005798350576886144,0.0054613593729894395,1,5,1528,333.9754166666666,54.672777777777775,2000,7.5,"K1V    ",21.4,0.21,0.07,HIP109926,109926.0
1597350774639252352,0.021593409859501846,1,5,1086,239.44749999999996,54.749722222222225,2000,4.96,"F0IV   ",33.8,-0.15,0.11,HIP78180,78180.0
985610542491481984,0.004378190712212027,1,5,531,113.84124999999999,54.849722222222226,2000,11.3,"M0     ",13.1,-0.12,0.02,HIP36915,36915.0
411601907281189504,0.004062897651743829,1,5,87,17.77583333333333,55.14972222222222,2000,4.34,"A7Vvar ",42.1,0.23,-0.02,HIP5542,5542.0
1420972823028539008,0.00982572849310773,1,5,1206,263.0441666666667,55.18416666666666,2000,4.89,"Am...  ",30.3,0.15,0.05,HIP85819,85819.0
1571411233756165248,0.003812025528387504,1,5,859,190.43541666666667,55.724444444444444,2000,8.27,"K3V    ",23.2,0.12,0.0,HIP61946,61946.0
853819947756949120,0.010849829903951525,1,5,715,157.65666666666664,55.98027777777778,2000,4.82,"F8V    ",12.8,-0.18,-0.03,HIP51459,51459.0
2186410658887682432,0.010607954916076677,1,5,1390,303.34958333333327,56.5675,2000,4.28,A3IV-Vn,46.7,0.06,0.08,HIP99655,99655.0
1562668432687758976,0.0039418603313660225,1,5,929,205.3058333333333,56.72694444444445,2000,7.77,"K0IV-V ",23.7,-0.02,0.07,HIP66781,66781.0
1421593566061407872,0.024860869694484138,1,5,1236,268.3820833333333,56.8725,2000,3.73,"K2III  ",34.1,0.09,0.08,HIP87585,87585.0
1565867461768654208,0.003659692812932059,1,5,913,201.4395833333333,56.97027777777778,2000,7.29,"G9IV-V ",21.8,-0.22,0.01,HIP65515,65515.0
1575287046603149056,0.03741557913200546,1,5,829,183.85666666666665,57.0325,2000,3.32,"A3Vvar ",24.9,0.1,0.01,HIP59774,59774.0
854734436486835840,0.015624698130964785,1,5,721,158.79041666666666,57.0825,2000,5.16,"F1V    ",26.4,0.07,0.04,HIP51814,51814.0
854769861377131520,0.0034571959421080445,1,5,719,157.93,57.115833333333335,2000,9.63,"M0     ",17.4,-0.07,0.17,HIP51547,51547.0
2009481748875806976,0.010234500972592373,1,5,1596,348.32083333333327,57.16833333333333,2000,5.57,"K3Vvar ",6.52,2.07,0.29,HIP114622,114622.0
2009481748875806976,0.010234500972592373,1,5,1595,348.32083333333327,57.16833333333333,2000,5.57,"K3Vvar ",6.52,2.07,0.29,HIP114622,114622.0
413391568618906880,0.0019698881773053322,1,5,97,20.16958333333333,57.32777777777778,2000,10.3,"K6V:   ",18.9,-0.29,0.44,HIP6290,6290.0
2187263158355763072,0.0038371960032894553,1,5,1418,310.36749999999995,57.42972222222222,2000,10.2,"M0     ",23.9,0.1,0.21,HIP102101,102101.0
2143016302194287488,0.008923145625128501,1,5,1324,288.04749999999996,57.67194444444444,2000,7.04,"G8V    ",20.0,0.22,0.41,HIP94346,94346.0
1035135776021753088,0.004392007348245244,1,5,578,125.10875,57.74305555555556,2000,5.89,"F4V    ",31.6,0.06,0.01,HIP40875,40875.0
2009439555118168832,0.001521035917138932,1,5,1609,351.1270833333333,57.85416666666667,2000,10.0,"M2     ",13.1,-0.06,-0.28,HIP115562,115562.0
269067920001221888,0.003617920351546586,1,5,432,89.90708333333332,58.59277777777778,2000,10.2,"M1     ",13.5,0.01,-0.25,HIP28368,28368.0
1614731957530945280,0.028789831301226528,1,5,1044,231.23249999999996,58.965833333333336,2000,3.29,"K2III  ",31.3,-0.01,0.02,HIP75458,75458.0
2011251030583236352,0.0040064249276101195,1,5,1612,352.8424999999999,59.165277777777774,2000,6.76,"K2V    ",16.8,1.11,0.11,HIP116085,116085.0
