"Source Name","Association","RA","Dec","Gal l","Gal b","Flux 1-100 GeV(photons cm-2s-1)","+/-","Spectral Index","+/-","Variability Index","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0535.7-0617c",,"83.9349","-6.2905","209.92","-19.6859","9.59273e-10","1.7274e-10","2.39642","0.100356","41.1836","Unassociated","Link","Link","Link"
"3FGL J0536.4-3347",,"84.1005","-33.7879","238.296","-29.4358","1.63691e-9","1.17245e-10","2.29264","0.0462533","200.791","Unassociated","Link","Link","Link"
"3FGL J0537.0-7113",,"84.2537","-71.2207","281.955","-31.5418","3.67283e-10","7.80546e-11","2.44573","0.134422","43.5107","Unassociated","Link","Link","Link"
"3FGL J0537.0+0957",,"84.2662","9.9503","195.285","-11.5783","7.35588e-10","1.36768e-10","2.38199","0.153706","182.355","Unassociated","Link","Link","Link"
"3FGL J0537.4+3604c",,"84.3505","36.0747","173.023","2.30108","6.97422e-10","1.64936e-10","2.27124","0.12976","28.4404","Unassociated","Link","Link","Link"
"3FGL J0538.8-0341",,"84.7094","-3.6957","207.847","-17.8213","4.78118e-10","1.15065e-10","2.56439","0.125295","31.5705","Unassociated","Link","Link","Link"
"3FGL J0538.9+1646",,"84.7486","16.7734","189.598","-7.6599","4.30581e-10","1.06129e-10","1.89072","0.143015","45.3372","Unassociated","Link","Link","Link"
"3FGL J0539.2-0536",,"84.8007","-5.6013","209.678","-18.607","5.87968e-10","1.46976e-10","2.51762","0.248535","30.4928","Unassociated","Link","Link","Link"
"3FGL J0539.9-7553",,"84.9851","-75.8837","287.29","-30.5864","4.96769e-10","7.79991e-11","2.32527","0.107831","44.2859","Unassociated","Link","Link","Link"
"3FGL J0540.0+1208",,"85.0022","12.1482","193.735","-9.83659","4.39267e-10","1.08062e-10","2.10709","0.184096","48.3857","Unassociated","Link","Link","Link"
"3FGL J0540.8+3503c",,"85.2148","35.0643","174.254","2.35885","6.6791e-10","1.49431e-10","2.52081","0.12499","41.8575","Unassociated","Link","Link","Link"
